2024-10-07 at 23:49:02 | INFO | Бот успешно запущен.
2024-10-07 at 23:54:15 | ERROR | Бот остановлен!
2024-10-07 at 23:54:22 | INFO | Бот успешно запущен.
2024-10-07 at 23:54:25 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 5321351707}
2024-10-07 at 23:54:25 | INFO | Запись не найдена по фильтрам: {'telegram_id': 5321351707}
2024-10-07 at 23:54:25 | INFO | Добавление записи User с параметрами: {'telegram_id': 5321351707, 'username': 'yakvenalex', 'first_name': 'Алексей', 'last_name': 'Яковенко', 'referral_id': None}
2024-10-07 at 23:54:25 | INFO | Запись User успешно добавлена.
2024-10-07 at 23:55:22 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 5127841744}
2024-10-07 at 23:55:22 | INFO | Запись не найдена по фильтрам: {'telegram_id': 5127841744}
2024-10-07 at 23:55:22 | INFO | Добавление записи User с параметрами: {'telegram_id': 5127841744, 'username': 'yakvenalexx', 'first_name': 'Alexey', 'last_name': 'Yakovenko', 'referral_id': 5321351707}
2024-10-07 at 23:55:22 | INFO | Запись User успешно добавлена.
2024-10-08 at 00:45:40 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 5127841744}
2024-10-08 at 00:45:40 | INFO | Запись найдена по фильтрам: {'telegram_id': 5127841744}
2024-10-08 at 08:35:54 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 5127841744}
2024-10-08 at 08:35:54 | INFO | Запись найдена по фильтрам: {'telegram_id': 5127841744}
2024-10-08 at 10:44:51 | ERROR | Бот остановлен!
2024-10-10 at 12:12:11 | INFO | Бот успешно запущен.
2024-10-10 at 12:12:40 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1775933471}
2024-10-10 at 12:12:40 | INFO | Запись не найдена по фильтрам: {'telegram_id': 1775933471}
2024-10-10 at 12:12:40 | INFO | Добавление записи User с параметрами: {'telegram_id': 1775933471, 'username': 'sosed2393', 'first_name': 'Григорий', 'last_name': None, 'referral_id': None}
2024-10-10 at 12:12:40 | INFO | Запись User успешно добавлена.
2024-10-10 at 12:12:46 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1775933471}
2024-10-10 at 12:12:46 | INFO | Запись найдена по фильтрам: {'telegram_id': 1775933471}
2024-10-10 at 12:15:31 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1775933471}
2024-10-10 at 12:15:31 | INFO | Запись найдена по фильтрам: {'telegram_id': 1775933471}
2024-10-10 at 12:16:34 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1775933471}
2024-10-10 at 12:16:34 | INFO | Запись найдена по фильтрам: {'telegram_id': 1775933471}
2024-10-10 at 12:16:37 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1775933471}
2024-10-10 at 12:16:37 | INFO | Запись найдена по фильтрам: {'telegram_id': 1775933471}
2024-10-10 at 12:21:42 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1775933471}
2024-10-10 at 12:21:42 | INFO | Запись найдена по фильтрам: {'telegram_id': 1775933471}
2024-10-10 at 12:22:31 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1775933471}
2024-10-10 at 12:22:31 | INFO | Запись найдена по фильтрам: {'telegram_id': 1775933471}
